submodular_value,neg_cost,run
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-427.0,-527,1
-445.0,-545,2
-445.0,-545,2
-445.0,-545,2
-445.0,-545,2
-445.0,-545,2
-445.0,-545,2
-463.0,-563,3
-463.0,-563,3
-463.0,-563,3
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-459.0,-559,4
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-447.0,-547,5
-436.0,-536,6
-436.0,-536,6
-436.0,-536,6
-436.0,-536,6
-440.0,-540,7
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-458.0,-558,8
-430.0,-530,9
-430.0,-530,9
-430.0,-530,9
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-473.0,-573,10
-478.0,-578,11
-478.0,-578,11
-478.0,-578,11
-478.0,-578,11
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-419.0,-519,12
-448.0,-548,13
-448.0,-548,13
-448.0,-548,13
-448.0,-548,13
-453.0,-553,14
-453.0,-553,14
-453.0,-553,14
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-443.0,-543,15
-437.0,-537,16
-437.0,-537,16
-437.0,-537,16
-437.0,-537,16
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-451.0,-551,17
-417.0,-517,18
-417.0,-517,18
-417.0,-517,18
-442.0,-542,19
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,20
-443.0,-543,21
-443.0,-543,21
-443.0,-543,21
-443.0,-543,21
-443.0,-543,21
-443.0,-543,21
-464.0,-564,22
-464.0,-564,22
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-462.0,-562,23
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-425.0,-525,24
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-475.0,-575,25
-460.0,-560,26
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-429.0,-529,27
-435.0,-535,28
-435.0,-535,28
-435.0,-535,28
-422.0,-522,29
-422.0,-522,29
-422.0,-522,29
-422.0,-522,29
-422.0,-522,29
-422.0,-522,29
-422.0,-522,29
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
-467.0,-567,30
