submodular_value,neg_cost,run
-546.0,-556,1
-546.0,-556,1
-546.0,-556,1
-561.0,-571,2
-561.0,-571,2
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-572.0,-582,3
-543.0,-553,4
-543.0,-553,4
-521.0,-531,5
-521.0,-531,5
-521.0,-531,5
-521.0,-531,5
-521.0,-531,5
-521.0,-531,5
-521.0,-531,5
-560.0,-570,6
-560.0,-570,6
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-551.0,-561,7
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-509.0,-519,8
-539.0,-549,9
-539.0,-549,9
-539.0,-549,9
-539.0,-549,9
-539.0,-549,9
-539.0,-549,9
-539.0,-549,9
-556.0,-566,10
-556.0,-566,10
-556.0,-566,10
-577.0,-587,11
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-566.0,-576,12
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-514.0,-524,13
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-522.0,-532,14
-526.0,-536,15
-526.0,-536,15
-526.0,-536,15
-526.0,-536,15
-526.0,-536,15
-526.0,-536,15
-526.0,-536,15
-541.0,-551,16
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-503.0,-513,17
-516.0,-526,18
-516.0,-526,18
-516.0,-526,18
-516.0,-526,18
-516.0,-526,18
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-519.0,-529,19
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-556.0,-566,20
-532.0,-542,21
-544.0,-554,22
-514.0,-524,23
-546.0,-556,24
-546.0,-556,24
-523.0,-533,25
-523.0,-533,25
-523.0,-533,25
-523.0,-533,25
-523.0,-533,25
-523.0,-533,25
-523.0,-533,25
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-529.0,-539,26
-550.0,-560,27
-550.0,-560,27
-550.0,-560,27
-550.0,-560,27
-550.0,-560,27
-550.0,-560,27
-538.0,-548,28
-538.0,-548,28
-538.0,-548,28
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-560.0,-570,29
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
-522.0,-532,30
